
fact.txt -  14:03:06 PM Friday 09/18/09

				PC	BP	SP	STACK
PC	code	L	M	0	1	0	 0
0	JMP	0	25	25	1	0	 0
25	INC	0	5	26	1	5	 0 0 0 0 0
26	LIT	0	3	27	1	6	 0 0 0 0 0 3
27	STO	0	4	28	1	5	 0 0 0 0 3
28	CAL	0	2	2	6	8	 0 0 0 0 3 | 1 1 29
2	INC	0	4	3	6	9	 0 0 0 0 3 | 1 1 29 0
3	LOD	1	4	4	6	10	 0 0 0 0 3 | 1 1 29 0 3
4	STO	0	3	5	6	9	 0 0 0 0 3 | 1 1 29 3
5	LOD	1	4	6	6	10	 0 0 0 0 3 | 1 1 29 3 3
6	LIT	0	1	7	6	11	 0 0 0 0 3 | 1 1 29 3 3 1
7	OPR	0	3	8	6	10	 0 0 0 0 3 | 1 1 29 3 2
8	STO	1	4	9	6	9	 0 0 0 0 2 | 1 1 29 3
9	LOD	1	4	10	6	10	 0 0 0 0 2 | 1 1 29 3 2
10	LIT	0	0	11	6	11	 0 0 0 0 2 | 1 1 29 3 2 0
11	OPR	0	8	12	6	10	 0 0 0 0 2 | 1 1 29 3 0
12	JPC	0	15	15	6	9	 0 0 0 0 2 | 1 1 29 3
15	LOD	1	4	16	6	10	 0 0 0 0 2 | 1 1 29 3 2
16	LIT	0	0	17	6	11	 0 0 0 0 2 | 1 1 29 3 2 0
17	OPR	0	12	18	6	10	 0 0 0 0 2 | 1 1 29 3 1
18	JPC	0	20	19	6	9	 0 0 0 0 2 | 1 1 29 3
19	CAL	1	2	2	10	12	 0 0 0 0 2 | 1 1 29 3 | 1 6 20
2	INC	0	4	3	10	13	 0 0 0 0 2 | 1 1 29 3 | 1 6 20 0
3	LOD	1	4	4	10	14	 0 0 0 0 2 | 1 1 29 3 | 1 6 20 0 2
4	STO	0	3	5	10	13	 0 0 0 0 2 | 1 1 29 3 | 1 6 20 2
5	LOD	1	4	6	10	14	 0 0 0 0 2 | 1 1 29 3 | 1 6 20 2 2
6	LIT	0	1	7	10	15	 0 0 0 0 2 | 1 1 29 3 | 1 6 20 2 2 1
7	OPR	0	3	8	10	14	 0 0 0 0 2 | 1 1 29 3 | 1 6 20 2 1
8	STO	1	4	9	10	13	 0 0 0 0 1 | 1 1 29 3 | 1 6 20 2
9	LOD	1	4	10	10	14	 0 0 0 0 1 | 1 1 29 3 | 1 6 20 2 1
10	LIT	0	0	11	10	15	 0 0 0 0 1 | 1 1 29 3 | 1 6 20 2 1 0
11	OPR	0	8	12	10	14	 0 0 0 0 1 | 1 1 29 3 | 1 6 20 2 0
12	JPC	0	15	15	10	13	 0 0 0 0 1 | 1 1 29 3 | 1 6 20 2
15	LOD	1	4	16	10	14	 0 0 0 0 1 | 1 1 29 3 | 1 6 20 2 1
16	LIT	0	0	17	10	15	 0 0 0 0 1 | 1 1 29 3 | 1 6 20 2 1 0
17	OPR	0	12	18	10	14	 0 0 0 0 1 | 1 1 29 3 | 1 6 20 2 1
18	JPC	0	20	19	10	13	 0 0 0 0 1 | 1 1 29 3 | 1 6 20 2
19	CAL	1	2	2	14	16	 0 0 0 0 1 | 1 1 29 3 | 1 6 20 2 | 1 10 20
